trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-72.43412041267253,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,13,2.538074845456389,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-168.54509781287865,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-126.16402457187755,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-228.49554900593188,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-48.76448685489936,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-183.60762175580726,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-59.673789890130394,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.194907555393215,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-77.623331563964,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-17.147737720216554,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-36.935265989646915,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,13,0.25564795645952465,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,7,-12.790654196669074,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,-103.64252759425321,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,19.388102071681267,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-40.01024577955295,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,5,-33.04580389990886,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,-19.42869343641492,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-32.35888108690192,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,27.95012756803656,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,18,11.711746789533871,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,26.013065166150923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,2,32.55174074115481,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,16,27.51399660466883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,4,-0.7518873685389977,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,30.463328504102968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,5,38.134606712111434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,2,-10.9624921165776,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,19,14.053277343281923,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
